PERMNO,TICKER,COMNAM,date
20807,HCCC,HEALTHCARE CAPITAL CORP,2022-03-08
14035,PSXP,PHILLIPS 66 PARTNERS LP,2022-03-09
13191,PVG,PRETIUM RESOURCES INC,2022-03-09
88421,ARNA,ARENA PHARMACEUTICALS INC,2022-03-11
21548,GRUB,JUST EAT TAKEAWAY COM N V,2022-03-11
18967,BRBR,BELLRING BRANDS INC,2022-03-11
19571,SPQQ,SIREN E T F TRUST,2022-03-11
93175,KRA,KRATON CORP,2022-03-15
20966,SPAQ,SPARTAN ACQUISITION CORP III,2022-03-17
20418,BTNB,BRIDGETOWN 2 HOLDINGS LTD,2022-03-18
16384,FRTA,FORTERRA INC,2022-03-18
17007,CHGX,E T F SERIES SOLUTIONS,2022-03-21
89445,BDSI,BIODELIVERY SCIENCES INTL INC,2022-03-23
86839,OBAS,OPTIBASE LTD,2022-03-23
13752,CONE,CYRUSONE INC,2022-03-25
14667,RESN,RESONANT INC,2022-03-28
20568,APR,APRIA INC,2022-03-29
20083,FMAC,FIRSTMARK HORIZON ACQ CORP,2022-03-29
19839,ORPH,ORPHAZYME A S,2022-03-30
17795,GSKY,GREENSKY INC,2022-03-30
16158,VRS,VERSO CORP,2022-03-31
12584,SUNS,S L R SENIOR INVESTMENT CORP,2022-04-01
20800,GMBT,PIVOTAL HOLDINGS CORP,2022-04-01
17692,LEVL,LEVEL ONE BANCORP INC,2022-04-01
17859,VNE,VEONEER INC,2022-04-01
81560,GFED,GUARANTY FEDERAL BANCSHARES INC,2022-04-01
12073,PBCT,PEOPLES UNITED FINANCIAL INC,2022-04-04
20616,PPGH,POEMA GLOBAL HOLDINGS CORP,2022-04-05
15647,FLOW,S P X FLOW INC,2022-04-05
17002,BPMP,B P MIDSTREAM PARTNERS LP,2022-04-05
17860,RVI,RETAIL VALUE INC,2022-04-06
19189,TLMD,S O C TELEMED INC,2022-04-06
18085,LAIX,LAIX INC,2022-04-07
90952,ISBC,INVESTORS BANCORP INC NEW,2022-04-07
20710,MVP,LISTED FUNDS TRUST,2022-04-07
14312,HMHC,HOUGHTON MIFFLIN HARCOURT CO,2022-04-07
20543,SUBZ,LISTED FUNDS TRUST,2022-04-07
18451,DMRE,TRANSAMERICA E T F TRUST,2022-04-08
16869,DMRL,TRANSAMERICA E T F TRUST,2022-04-08
16871,DMRM,TRANSAMERICA E T F TRUST,2022-04-08
16873,DMRI,TRANSAMERICA E T F TRUST,2022-04-08
16872,DMRS,TRANSAMERICA E T F TRUST,2022-04-08
85340,MFL,BLACKROCK MUNIHLDGS INV QLTY FD,2022-04-11
17802,STXB,SPIRIT OF TEXAS BANCSHARES INC,2022-04-11
90806,DISCB,DISCOVERY INC,2022-04-11
90805,DISCA,DISCOVERY INC,2022-04-11
78056,MCA,BLACKROCK MUNIYLD CA QLTY FD INC,2022-04-11
77607,MYJ,BLACKROCK MUNIYIELD NJ FUND INC,2022-04-11
77466,MYC,BLACKROCK MUNIYIELD CA FUND INC,2022-04-11
92778,DISCK,DISCOVERY INC,2022-04-11
93093,OIBR,OI S A,2022-04-14
18408,KLDO,KALEIDO BIOSCIENCES INC,2022-04-14
21317,LGBT,PROCURE ETF TRUST I,2022-04-21
86062,EVOL,EVOLVING SYSTEMS INC,2022-04-22
21135,FOE,FERRO CORP,2022-04-22
19090,URNM,EXCHANGE TRADED CONCEPTS TR,2022-04-25
19186,CHPM,C H P MERGER CORP,2022-04-25
22026,BUDX,INVESTMENT MANAGERS SERIES TR II,2022-04-26
18249,ALAC,ALBERTON ACQUISITION CORP,2022-04-26
81190,VOLT,VOLT INFORMATION SCIENCES INC,2022-04-26
14930,GWGH,G W G HOLDINGS INC,2022-04-28
16042,MGP,M G M GROWTH PROPERTIES LLC,2022-04-29
21632,BIGY,E T F SERIES SOLUTIONS,2022-04-29
20156,MACU,MALLARD ACQUISITION CORP,2022-05-02
12758,ECOL,U S ECOLOGY INC NEW,2022-05-02
93291,SBM,PROSHARES TRUST,2022-05-03
92699,DDG,PROSHARES TRUST,2022-05-03
17939,NEW,PUXIN LTD,2022-05-03
14977,ALTS,PROSHARES TRUST,2022-05-03
13444,EUFX,PROSHARES TRUST II,2022-05-03
87464,HBP,HUTTIG BUILDING PRODUCTS INC,2022-05-03
17592,FUT,PROSHARES TRUST,2022-05-03
17594,EMSH,PROSHARES TRUST,2022-05-03
12463,RALS,PROSHARES TRUST,2022-05-03
13513,CROC,PROSHARES TRUST II,2022-05-03
18778,GNOG,GOLDEN NUGGET ONLINE GAMING INC,2022-05-05
14380,CELP,CYPRESS ENVIRONMENTAL PRTNRS LP,2022-05-06
90361,JOBS,51JOB INC,2022-05-09
86717,EPAY,BOTTOMLINE TECHNOLOGIES DEL INC,2022-05-13
14836,XENT,INTERSECT E N T INC,2022-05-13
10232,ESBK,ELMIRA SAVINGS BANK NY,2022-05-16
18326,WEI,WEIDAI LTD,2022-05-16
12293,SFUN,FANG HOLDINGS LTD,2022-05-17
80957,AZPN,ASPEN TECHNOLOGY INC,2022-05-17
76613,IO,ION GEOPHYSICAL CORP,2022-05-18
21699,ARTA,ARTISAN ACQUISITION CORP,2022-05-18
18071,CTK,COOTEK CAYMEN INC,2022-05-19
15849,MIME,MIMECAST LTD,2022-05-19
20313,OTRA,O T R ACQUISITION CORP,2022-05-20
15956,AFI,ARMSTRONG FLOORING INC,2022-05-20
13169,ZNGA,ZYNGA INC,2022-05-23
76961,NTP,NAM TAI PROPERTY INC,2022-05-23
88905,ATRS,ANTARES PHARMA INC,2022-05-24
13507,ANAT,AMERICAN NATIONAL GROUP INC,2022-05-25
41574,IIN,INTRICON CORP,2022-05-25
76586,VWTR,VIDLER WATER RESOURCES INC,2022-05-25
16946,RBIN,E T F SERIES SOLUTIONS,2022-05-26
16947,RBUS,E T F SERIES SOLUTIONS,2022-05-26
16945,MXDU,E T F SERIES SOLUTIONS,2022-05-26
16615,JCO,NUVEEN CR OPP 2022 TARGET TM FD,2022-05-26
20411,OCDX,ORTHO CLINICAL DIAGNOSTICS HLDGS,2022-05-27
64020,LUB,LUBYS INC,2022-05-27
88788,IRCP,IRSA PROPIEDADES COMERCIALES S A,2022-05-31
19622,CMPI,CHECKMATE PHARMACEUTICALS INC,2022-05-31
21428,ZME,ZHANGMEN EDUCATION INC,2022-06-01
20384,OCA,OMNICHANNEL ACQUISITION CORP,2022-06-01
13943,TSC,TRISTATE CAPITAL HOLDINGS INC,2022-06-01
14458,GNCA,GENOCEA BIOSCIENCES INC,2022-06-02
93026,NEV,NUVEEN ENHANCED MUNICIPAL VAL FD,2022-06-06
10909,CERN,CERNER CORP,2022-06-08
20355,CAS,CASCADE ACQUISITION CORP,2022-06-08
20602,GLAQ,GLOBIS ACQUISITION CORP,2022-06-10
20409,TACA,TREPONT ACQUISITION CORP I,2022-06-10
21374,DIDI,DIDI GLOBAL INC,2022-06-10
15187,ZSAN,ZOSANO PHARMA CORP,2022-06-10
79885,WVFC,WVS FINANCIAL CORP,2022-06-10
19101,JOYY,INFUSIVE U S TRUST,2022-06-13
21680,CLMA,TIDAL E T F TRUST,2022-06-13
13201,REGI,RENEWABLE ENERGY GROUP INC,2022-06-13
15156,DIVA,A G F INVESTMENTS TRUST,2022-06-14
17680,RENO,RENOVARE ENVIRONMENTAL INC,2022-06-16
20122,OACB,OAKTREE ACQUISITION CORP II,2022-06-16
79767,ENIA,ENEL AMERICAS S A,2022-06-17
17936,OGIG,O S I ETF TRUST,2022-06-21
17862,OEUR,O S I ETF TRUST,2022-06-21
16517,OUSM,O S I ETF TRUST,2022-06-21
17863,OUSA,O S I ETF TRUST,2022-06-21
91909,SUMR,SUMMER INFANT INC,2022-06-22
19830,ELMS,ELECTRIC LAST MILE SOLUTIONS INC,2022-06-22
18141,PLAN,ANAPLAN INC,2022-06-22
22391,NTZO,IMPACT SHARES TRUST I,2022-06-22
19856,MSP,DATTO HOLDING CORP,2022-06-23
21038,EJFA,E J F ACQUISITION CORP,2022-06-23
82768,BDR,BLONDER TONGUE LABORATORIES INC,2022-06-24
21300,GGPI,GORES GUGGENHEIM INC,2022-06-24
15577,JP,JUPAI HOLDINGS LTD,2022-06-24
12668,APTS,PREFERRED APARTMENT CMNTYS INC,2022-06-24
22708,TRDF,COLLABORATIVE INV SERIES TRUST,2022-06-24
20249,VFIN,SIMPLIFY EXCHANGE TRADED FUNDS,2022-06-27
20250,VPOP,SIMPLIFY EXCHANGE TRADED FUNDS,2022-06-27
14761,TREC,TRECORA RESOURCES,2022-06-27
20835,LBPS,4D PHARMA PLC,2022-06-27
76788,TVTY,TIVITY HEALTH INC,2022-06-28
21871,RICO,AGRICO ACQUISITION CORP,2022-06-29
89901,WLL,WHITING PETROLEUM CORP NEW,2022-07-01
24476,COHR,COHERENT INC,2022-07-01
12582,PCOM,POINTS COM INC,2022-07-01
90637,PBIP,PRUDENTIAL BANCORP INC NEW,2022-07-01
15507,SRRA,SIERRA ONCOLOGY INC,2022-07-01
56710,NSEC,NATIONAL SECURITY GROUP INC,2022-07-01
88152,CCMP,C M C MATERIALS INC,2022-07-06
90440,NP,NEENAH INC,2022-07-06
14926,CDK,C D K GLOBAL INC,2022-07-06
21850,GGGV,G3 VRM ACQUISITION CORP,2022-07-07
81038,HNP,HUANENG POWER INTERNATIONAL INC,2022-07-07
16464,GTYH,G T Y TECHNOLOGY HOLDINGS INC MA,2022-07-07
20611,ENJY,ENJOY TECHNOLOGY INC,2022-07-08
18113,ETTX,ENTASIS THERAPEUTICS HLDGS INC,2022-07-11
20542,KWAC,KINGSWOOD ACQUISITION CORP,2022-07-12
20234,AVDR,NEW AGE ALPHA TRUST,2022-07-12
20235,AVDG,NEW AGE ALPHA TRUST,2022-07-12
14099,MBII,MARRONE BIO INNOVATIONS INC,2022-07-13
22102,HHH,E T F MANAGERS TRUST,2022-07-18
18355,AWTM,TIDAL E T F TRUST,2022-07-18
21384,SINV,E T F MANAGERS TRUST,2022-07-18
76602,PSB,P S BUSINESS PARKS INC MD,2022-07-20
89036,NTUS,NATUS MEDICAL INC,2022-07-21
91237,VG,VONAGE HOLDINGS CORP,2022-07-21
12640,SREV,SERVICESOURCE INTERNATIONAL INC,2022-07-21
90507,MIC,MACQUARIE INFRAST HLDGS LLC,2022-07-21
79233,HR,HEALTHCARE REALTY TRUST INC,2022-07-21
11343,SAFM,SANDERSON FARMS INC,2022-07-22
19804,PRPB,C C NEUBERGER PRINCIPAL HLDG II,2022-07-25
21247,TRYP,TIDAL E T F TRUST,2022-07-25
20973,UGCE,UNCOMMON INVESTMENT FUNDS TR,2022-07-25
77501,CNR,CORNERSTONE BUILDING BRANDS INC,2022-07-25
19789,PSTH,PERSHING SQ TONTINE HLDGS LTD,2022-07-26
22432,CTRU,ARK E T F TRUST,2022-07-27
20806,GSAQ,GLOBAL SYNERGY ACQUISITION CORP,2022-07-27
19970,MILE,METROMILE INC,2022-07-28
20392,EUCG,TIDAL E T F TRUST,2022-07-29
17917,AIIQ,E T F SERIES SOLUTIONS,2022-07-29
15921,WBT,WELBILT INC,2022-07-29
17294,VSL,E T F SERIES SOLUTIONS,2022-07-29
21545,GOBI,GOBI ACQUISITION CORP,2022-08-01
19415,DYFN,ANGEL OAK DYN FINL STR INC TM TR,2022-08-01
12559,NPTN,NEOPHOTONICS CORP,2022-08-03
85349,MTOR,MERITOR INC,2022-08-03
21201,DSPC,COLLABORATIVE INV SERIES TRUST,2022-08-08
21200,SOGU,COLLABORATIVE INV SERIES TRUST,2022-08-08
22337,SARK,COLLABORATIVE INV SERIES TRUST,2022-08-08
21203,FOMO,COLLABORATIVE INV SERIES TRUST,2022-08-08
20209,XPOA,D P C M CAPITAL INC,2022-08-08
72611,OBCI,OCEAN BIO CHEM INC,2022-08-09
15075,EVFM,EVOFEM BIOSCIENCES INC,2022-08-10
90300,ACC,AMERICAN CAMPUS COMMUNITIES INC,2022-08-10
20322,RDBX,REDBOX ENTERTAINMENT INC,2022-08-11
13924,EPZM,EPIZYME INC,2022-08-12
13438,GSV,GOLD STANDARD VENTURES CORP,2022-08-12
14707,RDUS,RADIUS HEALTH INC,2022-08-15
21810,NSR,NOMAD ROYALTY CO LTD,2022-08-15
20127,LEAP,RIBBIT LEAP LTD,2022-08-15
19548,BLCT,BLUECITY HOLDINGS LTD,2022-08-15
17037,SAIL,SAILPOINT TECHNOLOGIES HLDGS INC,2022-08-16
18567,TPTX,TURNING POINT THERAPEUTICS INC,2022-08-17
19767,GOAC,G O ACQUISITION CORP,2022-08-17
19936,RBAC,REDBALL ACQUISITION CORP,2022-08-17
14299,EMWP,EROS MEDIA WORLD PLC,2022-08-17
20560,ATC,ATOTECH LTD,2022-08-17
92206,BKEP,BLUEKNIGHT ENERGY PARTNERS L P,2022-08-18
20374,SPXZ,LISTED FUNDS TRUST,2022-08-18
80640,LJPC,LA JOLLA PHARMACEUTICAL CO,2022-08-22
15722,HJPX,ISHARES TRUST,2022-08-23
19522,GBLO,GLOBAL BETA E T F TRUST,2022-08-23
19523,GBGR,GLOBAL BETA E T F TRUST,2022-08-23
20559,WGLD,WSHARES ENHANCED GOLD ETF,2022-08-23
13997,ICOL,ISHARES INC,2022-08-23
18750,MIDF,ISHARES TRUST,2022-08-23
15564,EMBH,ISHARES U S ETF TRUST,2022-08-23
17467,IECS,ISHARES U S ETF TRUST,2022-08-23
19097,GBDV,GLOBAL BETA E T F TRUST,2022-08-23
17465,IEFN,ISHARES U S ETF TRUST,2022-08-23
17463,IEME,ISHARES U S ETF TRUST,2022-08-23
17462,IEIH,ISHARES U S ETF TRUST,2022-08-23
17488,AGT,ISHARES TRUST,2022-08-23
92935,SMED,SHARPS COMPLIANCE CORP,2022-08-23
10952,CDR,CEDAR REALTY TRUST INC,2022-08-23
18469,EWJE,ISHARES TRUST,2022-08-23
17468,IEHS,ISHARES U S ETF TRUST,2022-08-23
19139,LMPX,LMP AUTOMOTIVE HOLDINGS INC,2022-08-24
21579,SLHG,SKYLIGHT HEALTH GROUP INC,2022-08-24
18669,RTLR,RATTLER MIDSTREAM LP,2022-08-24
88436,ENDP,ENDO INTERNATIONAL PLC,2022-08-25
18545,TUFN,TUFIN SOFTWARE TECHNOLOGIES LTD,2022-08-25
88951,UBOH,UNITED BANCSHARES INC,2022-08-26
19886,FST,FAST ACQUISITION CORP,2022-08-26
20819,ISLE,ISLEWORTH HEALTHCARE ACQ CORP,2022-08-29
21958,RVAC,RIVERVIEW ACQUISITION CORP,2022-08-29
80185,POLY,PLANTRONICS INC NEW,2022-08-29
19877,SPAK,E T F SERIES SOLUTIONS,2022-08-30
21672,STBL,R B B FUND INC,2022-08-30
21204,PSY,E T F SERIES SOLUTIONS,2022-08-30
20577,CRXT,CLARUS THERAPEUTICS HOLDINGS INC,2022-08-30
21673,EERN,R B B FUND INC,2022-08-30
13382,ALFA,E T F SERIES SOLUTIONS,2022-08-31
89246,ACH,ALUMINUM CORP CHINA LTD,2022-09-01
86763,AUTO,AUTOWEB INC,2022-09-01
12832,MENV,ADVISORSHARES TRUST,2022-09-01
16915,CTEK,CYNERGISTEK INC,2022-09-01
89949,LFC,CHINA LIFE INSURANCE CO LTD,2022-09-01
79464,SHI,SINOPEC SHANGHAI PETRO CO LTD,2022-09-02
19827,ETAC,E MERGE TECHNOLOGY ACQ CORP,2022-09-06
19823,CRTD,CREATD INC,2022-09-06
19141,MKD,MOLECULAR DATA INC,2022-09-06
20979,WARR,WARRIOR TECHNOLOGIES ACQ CO,2022-09-06
92262,AXU,ALEXCO RESOURCE CORP,2022-09-07
17087,JDIV,J P MORGAN E T F TRUST,2022-09-07
17086,JMIN,J P MORGAN E T F TRUST,2022-09-07
17042,ALNA,ALLENA PHARMACEUTICALS INC,2022-09-07
16593,NBEV,NEWAGE INC,2022-09-07
17413,TCTL,E T F SERIES SOLUTIONS,2022-09-07
87844,PTR,PETROCHINA CO LTD,2022-09-09
13395,SMM,SALIENT MIDSTREAM & M L P FUND,2022-09-09
16052,ALJJ,A L J REGIONAL HOLDINGS INC,2022-09-09
13038,BRCN,BURCON NUTRASCIENCE CORP,2022-09-09
14159,MNDT,MANDIANT INC,2022-09-12
12556,GPL,GREAT PANTHER MINING LTD,2022-09-13
20440,MUDS,MUDRICK CAPITAL ACQ CORP II,2022-09-13
13876,HMTV,HEMISPHERE MEDIA GROUP INC,2022-09-13
89307,MANT,MANTECH INTERNATIONAL CORP,2022-09-14
14334,CTT,CATCHMARK TIMBER TRUST INC,2022-09-15
77425,USAK,U S A TRUCK INC,2022-09-15
88660,SNP,CHINA PETRO & CHEMICAL CORP,2022-09-15
15526,HLG,HAILIANG EDUCATION GROUP INC,2022-09-16
20078,EQD,EQUITY DISTRIBUTION ACQ CORP,2022-09-19
16834,TYME,TYME TECHNOLOGIES INC,2022-09-19
19075,MOHO,ECMOHO LTD,2022-09-22
93123,CO,GLOBAL CORD BLOOD CORP,2022-09-23
14857,HMLP,HOEGH L N G PARTNERS LP,2022-09-26
21627,LOPX,DIREXION SHARES E T F TRUST,2022-09-26
20360,CLDS,DIREXION SHARES E T F TRUST,2022-09-26
21381,TENG,DIREXION SHARES E T F TRUST,2022-09-26
19419,NIFE,DIREXION SHARES E T F TRUST,2022-09-26
20211,WWOW,DIREXION SHARES E T F TRUST,2022-09-26
18337,RWGV,DIREXION SHARES E T F TRUST,2022-09-26
18338,RWVG,DIREXION SHARES E T F TRUST,2022-09-26
20113,IMPX,A E A BRIDGES IMPACT CORP,2022-09-27
15917,GCP,G C P APPLIED TECHNOLOGIES INC,2022-09-27
84203,BBQ,BBQ HOLDINGS INC,2022-09-28
16914,ZEAL,ZEALAND PHARMA A S,2022-09-29
20873,SLCR,SILVER CREST ACQ CORP,2022-09-29
82686,CTXS,CITRIX SYSTEMS INC,2022-09-30
21430,NE,NOBLE CORP,2022-09-30
75341,DRE,DUKE REALTY CORP,2022-10-03
15774,ABTX,ALLEGIANCE BANCSHARES INC,2022-10-03
18771,CHNG,CHANGE HEALTHCARE INC,2022-10-03
20158,NMMC,NORTH MOUNTAIN MERGER CORP,2022-10-03
21366,DTOX,AMPLIFY ETF TRUST,2022-10-04
16751,BHVN,BIOHAVEN PHARM HOLDING CO LTD,2022-10-04
10051,HNGR,HANGER INC,2022-10-04
20206,JGLD,AMPLIFY ETF TRUST,2022-10-04
15638,GBT,GLOBAL BLOOD THERAPEUTICS INC,2022-10-05
20166,RCHG,RECHARGE ACQUISITION CORP,2022-10-05
14500,BRG,BLUEROCK RESIDENTIAL GR REIT INC,2022-10-06
20131,VYGG,VY GLOBAL GROWTH,2022-10-06
86593,GBL,GAMCO INVESTORS INC,2022-10-06
19867,ASAQ,ATLANTIC AVENUE ACQUISITION CORP,2022-10-06
20118,AVAN,AVANTI ACQUISITION CORP,2022-10-07
16261,IEA,INFRA AND ENRGY ALTERNATIVES INC,2022-10-07
21373,CNVY,CONVEY HEALTH SOL HLDGS INC,2022-10-07
14847,WBII,ABSOLUTE SHARES TRUST,2022-10-10
20129,TPGY,T P G PACE BENEFICIAL FIN CORP,2022-10-10
16183,RNDB,RANDOLPH BANCORP INC,2022-10-10
18679,WBIT,ABSOLUTE SHARES TRUST,2022-10-10
14750,TMX,TERMINIX GLOBAL HOLDINGS INC,2022-10-12
12542,NLSN,NIELSEN HOLDINGS PLC,2022-10-12
18327,CVET,COVETRUS INC,2022-10-13
15710,EXTN,EXTERRAN CORP,2022-10-13
77729,TGA,TRANSGLOBE ENERGY CORP,2022-10-14
19410,FMTX,FORMA THERAPEUTICS HOLDINGS INC,2022-10-14
20069,IPOD,SOCIAL CAP HEDO HLDGS CORP IV,2022-10-17
20068,IPOF,SOCIAL CAP HEDO HLDGS CORP VI,2022-10-17
18533,RMO,ROMEO POWER INC,2022-10-17
19782,AAA,LISTED FUNDS TRUST,2022-10-17
18912,PING,PING IDENTITY HOLDING CORP,2022-10-18
19964,FVAM,5 01 ACQUISITION CORP,2022-10-18
71271,Y,ALLEGHANY CORP DE,2022-10-19
20900,ZY,ZYMERGEN INC,2022-10-19
14980,SHLX,SHELL MIDSTREAM PARTNERS LP,2022-10-19
17855,AVLR,AVALARA INC,2022-10-19
21386,EOPS,EMLES TRUST,2022-10-20
13262,CCXI,CHEMOCENTRYX INC,2022-10-20
20077,LUXE,EMLES TRUST,2022-10-20
82859,REV,REVLON INC,2022-10-20
19883,AMER,EMLES TRUST,2022-10-20
19884,FEDX,EMLES TRUST,2022-10-20
19881,LIV,EMLES TRUST,2022-10-20
19882,REC,EMLES TRUST,2022-10-20
20329,TMPM,TURMERIC ACQUISITION CORP,2022-10-20
22336,SANB,SANABY HEALTH ACQ CORP I,2022-10-21
20098,PMVC,P M V CONSUMER ACQUISITION CORP,2022-10-21
13084,MN,MANNING & NAPIER INC,2022-10-21
21268,ALF,ALFI INC,2022-10-24
20274,HIGA,H I G ACQUISITION CORP,2022-10-24
18445,JHCS,JOHN HANCOCK E T F TRUST,2022-10-25
20302,LFTR,LEFTERIS ACQUISITION CORP,2022-10-25
20081,ENPC,EXECUTIVE NETWORK PARTNER CORP,2022-10-25
15992,JHMS,JOHN HANCOCK E T F TRUST,2022-10-25
15989,JHMU,JOHN HANCOCK E T F TRUST,2022-10-25
15993,JHMI,JOHN HANCOCK E T F TRUST,2022-10-25
15987,JHME,JOHN HANCOCK E T F TRUST,2022-10-25
15988,JHMA,JOHN HANCOCK E T F TRUST,2022-10-25
15689,JHMF,JOHN HANCOCK E T F TRUST,2022-10-25
15688,JHMC,JOHN HANCOCK E T F TRUST,2022-10-25
15690,JHMH,JOHN HANCOCK E T F TRUST,2022-10-25
15693,JHMT,JOHN HANCOCK E T F TRUST,2022-10-25
16841,EFL,EATON VANCE FL RATE 2022 T TM TR,2022-10-26
20907,BOAS,B O A ACQUISITION CORP,2022-10-27
13542,DWPP,FIRST TRUST EXCHANGE TRADED FUND,2022-10-27
19949,BLSA,B C L S ACQUISITION CORP,2022-10-27
21214,EPRE,FIRST TRUST E T F VIII,2022-10-27
20388,PIPP,PINE ISLAND ACQUISITION CORP,2022-10-28
20326,TEKK,TEKKORP DIGITAL ACQ CORP,2022-10-28
14295,TWTR,TWITTER INC,2022-10-28
22299,EDNC,ENDURANCE ACQUISITION CORP,2022-10-28
22609,VBB,VALKYRIE E T F TRUST II,2022-10-31
20199,QPT,ADVISORSHARES TRUST,2022-10-31
20858,PAQC,PROVIDENT ACQUISITION CORP,2022-10-31
92354,PZN,PZENA INVESTMENT MANAGEMENT INC,2022-10-31
20303,LUXA,LUX HEALTH TECH ACQ CORP,2022-10-31
20324,SRSA,SARISSA CAPITAL ACQUISITION CORP,2022-10-31
20417,BENE,BENESSERE CAPITAL ACQ CORP,2022-11-01
14228,SRLP,SPRAGUE RESOURCES LP,2022-11-01
16674,USWS,U S WELL SERVICES INC,2022-11-01
22501,HTAQ,HUNT COMPANIES ACQ CORP I,2022-11-01
18210,PHAS,PHASEBIO PHARMACEUTICALS INC,2022-11-02
86435,FNHC,FEDNAT HOLDING CO,2022-11-04
11825,CYBE,CYBEROPTICS CORP,2022-11-04
90366,STON,STONEMOR INC,2022-11-04
20429,HAAC,HEALTH ASSURANCE ACQ CORP,2022-11-04
20691,FHS,FIRST HIGH SCHOOL ED GP CO LTD,2022-11-07
21431,IS,IRONSOURCE LTD,2022-11-07
19347,QNGY,QUANERGY SYSTEMS INC,2022-11-08
92902,ZVO,ZOVIO INC,2022-11-09
19929,CRHC,COHN ROBBINS HOLDINGS CORP,2022-11-09
22470,AXH,INDUSTRIAL HUMAN CAPITAL INC,2022-11-11
20443,NOAC,NATURAL ORDER ACQ CORP,2022-11-11
64899,STZ,CONSTELLATION BRANDS INC,2022-11-11
19311,ESSC,EAST STONE ACQUISITION CORP,2022-11-14
16844,SMTS,SIERRA METALS INC,2022-11-14
21218,GAPA,G & P ACQUISITION CORP,2022-11-15
13890,ECOM,CHANNELADVISOR CORP,2022-11-15
18205,LOGC,LOGICBIO THERAPEUTICS INC,2022-11-16
21675,VSPY,SPINNAKER E T F SERIES,2022-11-16
18409,MITO,STEALTH BIOTHERAPEUTICS CORP,2022-11-16
21042,FSRD,FAST RADIUS INC,2022-11-17
84375,TEN,TENNECO INC DE,2022-11-17
20997,IACC,ION ACQUISITION CORP 3 LTD,2022-11-18
18853,THCA,TUSCAN HOLDINGS CORP II,2022-11-18
21070,KIII,KISMET ACQUISITION THREE CORP,2022-11-18
19256,SNUG,E A SERIES TRUST,2022-11-21
20236,FEVR,NORTHERN LIGHTS FUND TR IV,2022-11-21
20350,BOB,E A SERIES TRUST,2022-11-21
14238,AERI,AERIE PHARMACEUTICALS INC,2022-11-21
14641,ZEN,ZENDESK INC,2022-11-22
22494,GCIG,VALUED ADVISERS TRUST,2022-11-22
20983,AUS,AUSTERLITZ ACQUISITION CORP I,2022-11-23
20986,ASZ,AUSTERLITZ ACQUISITION CORP II,2022-11-23
17620,VFLQ,VANGUARD WELLINGTON FUND,2022-11-23
91983,CLR,CONTINENTAL RESOURCES INC,2022-11-23
20534,FVT,FORTRESS VALUE ACQ CORP III,2022-11-23
21217,FVIV,FORTRESS VALUE ACQ CORP IV,2022-11-23
20594,FLAC,FRAZIER LIFESCIENCES ACQ CORP,2022-11-23
20152,JYAC,JIYA ACQUISITION CORP,2022-11-25
22104,MJIN,E T F MANAGERS TRUST,2022-11-25
16956,JEMD,NUVEEN EMERG MKTS DEBT 2022 TT F,2022-11-28
78569,RADA,RADA ELECTRONIC INDUSTRIES LTD,2022-11-28
21046,FRW,P W P FORWARD ACQUISITION CORP I,2022-11-29
18392,ETPA,MANAGED PORTFOLIO SERIES,2022-11-29
18661,EQOS,EQONEX LTD,2022-11-29
20962,SBII,SANDBRIDGE X2 CORP,2022-11-30
20446,PHIC,POPULATION HEALTH INV CO INC,2022-11-30
20840,LMACA,LIBERTY MEDIA ACQUISITION CORP,2022-12-01
19461,AKUS,AKOUOS INC,2022-12-01
84734,FBC,FLAGSTAR BANCORP INC,2022-12-01
14633,PBFX,P B F LOGISTICS LP,2022-12-01
21107,TSIB,TISHMAN SPEYER INNOVAT CORP II,2022-12-01
14528,AGTC,APPLIED GENETIC TECHNOLOGIES COR,2022-12-01
20525,CRU,CRUCIBLE ACQUISITION CORP,2022-12-01
19417,RCOR,RENOVACOR INC,2022-12-01
91414,FEO,FIRST TRUST ABRDN EMERG OPP FUND,2022-12-02
20716,TMAC,MUSIC ACQUISITION CORP,2022-12-02
15681,IBMK,ISHARES TRUST,2022-12-02
20877,SWET,ATHLON ACQUISITION CORP,2022-12-02
20671,ACII,ATLAS CREST INVESTMENT CORP II,2022-12-02
20434,HMCO,HUMANCO ACQUISITION CORP,2022-12-02
21083,OHPA,ORION ACQUISITION CORP,2022-12-02
21080,NDAC,NIGHTDRAGON ACQUISITION CORP,2022-12-05
16966,SWCH,SWITCH INC,2022-12-06
21739,LAAA,LAKESHORE ACQUISITION I CORP,2022-12-07
20866,RACB,RESEARCH ALLIANCE CORP II,2022-12-07
21330,REVH,REVOLUTION HEALTHCARE ACQ CORP,2022-12-07
20952,MACC,MISSION ADVANCEMENT CORP,2022-12-08
20400,HTPA,HIGHLAND TRANSCEND PTNRS I CORP,2022-12-08
20775,CLRM,CLARIM ACQUISITION CORP,2022-12-08
20795,FSSI,FORTISTAR SUSTAINABLE SOL CORP,2022-12-08
22522,AFAC,ARENA FORTIFY ACQUISITION CORP,2022-12-09
20852,OEPW,ONE EQUITY PRTNRS OPEN WATER I,2022-12-09
20426,FTCV,FINTECH ACQUISITION CORP V,2022-12-09
18546,LOTZ,CARLOTZ INC,2022-12-09
20676,CLIM,CLIMATE REAL IMP SOL II ACQ CORP,2022-12-09
20890,ZWRK,Z WORK ACQUISITION CORP,2022-12-09
